2025-05-19 13:44:38,647 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC06CA12-01/2025043014/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC06CA12-01/dispersion_20250430.nc | Header Content-Type: text/html
2025-05-19 13:44:38,918 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC06CA12-01/2025050114/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC06CA12-01/dispersion_20250501.nc | Header Content-Type: text/html
2025-05-19 13:44:39,179 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC06CA12-01/2025050214/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC06CA12-01/dispersion_20250502.nc | Header Content-Type: text/html
2025-05-19 13:44:39,436 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC06CA12-01/2025050314/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC06CA12-01/dispersion_20250503.nc | Header Content-Type: text/html
2025-05-19 13:44:39,708 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC06CA12-01/2025050414/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC06CA12-01/dispersion_20250504.nc | Header Content-Type: text/html
2025-05-19 13:44:39,970 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC06CA12-01/2025050514/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC06CA12-01/dispersion_20250505.nc | Header Content-Type: text/html
2025-05-19 13:44:40,233 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC06CA12-01/2025050614/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC06CA12-01/dispersion_20250506.nc | Header Content-Type: text/html
2025-05-19 13:44:40,495 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC06CA12-01/2025050714/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC06CA12-01/dispersion_20250507.nc | Header Content-Type: text/html
2025-05-19 13:44:40,754 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC06CA12-01/2025050814/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC06CA12-01/dispersion_20250508.nc | Header Content-Type: text/html
2025-05-19 13:44:41,016 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC06CA12-01/2025050914/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC06CA12-01/dispersion_20250509.nc | Header Content-Type: text/html
